이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전Comment	NEW_Comment	컬럼수
AREA_TMP	TM_GD40101	TM_GD030101	행정구역면적(2020)	행정구역면적	6
AUTHRT_CD_MNG	TM_GD29027	TM_GD019027	권한코드관리	권한코드관리	8
AUTHRT_CHG_HSTRY_MNG	TM_GD29025	TM_GD019025	권한변경이력관리	권한변경이력관리	7
BBS_CMNT_MNG	TM_GD29011	TM_GD019011	게시판댓글관리	게시판댓글관리	7
BBS_DTL_MNG	TM_GD29013	TM_GD019013	게시판상세관리	게시판상세관리	21
BBS_FILE_MNG	TM_GD29014	TM_GD019014	게시판파일관리	게시판파일관리	7
BBS_MNG	TM_GD29015	TM_GD019015	게시판관리	게시판관리	7
BBS_PSTAT_MNG	TM_GD29012	TM_GD019012	게시판게시글관리	게시판게시글관리	15
BNR_FILE_MNG	TM_GD29010	TM_GD019010	배너파일관리	배너파일관리	7
BNR_MNG	TM_GD29009	TM_GD019009	배너관리	배너관리	8
CD_MNG	TC_GD29031	TC_GD019031	코드관리	코드관리	8
CNTN_LOG_MNG	TM_GD29020	TM_GD019020	접속로그관리	접속로그관리	10
COMPET_PARTCPTN	TM_GD20603	TM_GD010603	공모전참가자	공모전참가자	20
COM_CD_MNG	TC_GD00002	TC_GD000002	공통코드관리	공통코드	2
CONTS_FILE_MNG	TM_GD29019	TM_GD019019	콘텐츠파일관리	콘텐츠파일관리	7
CONTS_MNG	TM_GD29018	TM_GD019018	콘텐츠관리	콘텐츠관리	6
CS_BASIN_AREA	TM_GD40202	TM_GD030202	조사연보프로그램_유역별면적자료	유역별편입면적	11
CS_REGNAREA	TM_GD40201	TM_GD030201	조사연보프로그램_법정동지역	법정동면적	4
DT_EXCELDOWNLOAD_LOG	TM_GD39021	TM_GD119021	엑셀 다운로드시 기록하는 로그	다운로드로그	10
DT_GQLY_TEST_CHARVALUE	TD_GD39030	TD_GD119030	유통수질검사문자열정보	유통수질검사문자열정보	16
DT_GQLY_TEST_DATA	TM_GD39030	TM_GD119030	유통수질검사정보	유통수질검사정보	17
DT_GQLY_TEST_INFO	TH_GD39030	TH_GD119030	유통수질검사이력정보	유통수질검사이력정보	16
DT_GQLY_TEST_NUMVALUE	TM_GD39031	TM_GD119031	유통수질검사숫자열정보	유통수질검사숫자열정보	16
DT_GWMANAGE_GOV_CODE	TC_GD39016	TC_GD119016	유통기관코드	유통기관코드	14
DT_GWQLY_CODE	TC_GD39015	TC_GD119015	유통수질항목코드	유통수질항목코드	14
DT_GWUSE_CODE	TC_GD39014	TC_GD119014	유통용도코드	유통용도코드	10
DT_JOSA_OBSVRDATA	TM_GD39013	TM_GD119013	유통조사시설시험관측정보	유통조사시설시험관측정보	16
DT_LANDUSE_CON_CODE	TC_GD39012	TC_GD119012	유통토지이용현황코드	유통토지이용현황코드	10
DT_LINK_LOG	TM_GD39020	TM_GD119020	유통시스템 연계 로그 테이블	유통시스템연계로그	7
DT_OBSVRDATA_RT	TM_GD39010	TM_GD119010	유통관측데이터정보	유통관측데이터	19
DT_OBSVRDATA_RT_CODE	TC_GD39011	TC_GD119011	유통관측데이터정보 코드	유통관측데이터코드	1
DT_OBSVRDATA_RT_TIME	TD_GD39010	TD_GD119010	유통관측데이터정보	유통관측시데이터	19
DT_POLL_CON_CODE	TC_GD39002	TC_GD119002	유통오염우려지역코드	유통오염우려지역코드	10
DT_SIGUNENG_CODE	TC_GD39001	TC_GD119001	유통시군구영문코드	유통시군구영문코드	11
DT_STANDARD_CODE	TC_GD39000	TC_GD119000	유통표준코드명정보	유통표준코드	18
DT_STANDARD_INFO	TM_GD39000	TM_GD119000	유통표준제원정보	유통표준제원	49
DT_STANDARD_INFO_ETC	TD_GD39000	TD_GD119000	유통표준제원기타정보	유통표준제원기타	12
DUBHRRF	TT_GD90200	TT_GD990200	강우 임시테이블(17년4월까지 데이터)	강우임시테이블	3
DWNLD_CNT_MNG	TM_GD29021	TM_GD019021	다운로드수관리	다운로드수관리	3
EMD_BASIN_CODE	TC_GD00005	TC_GD000005	읍면동별 표준유역코드	읍면동별표준유역코드	7
FT_INFO_MNG	TM_GD29001	TM_GD019001	하단정보관리	하단정보관리	6
GROUP_CD_MNG	TC_GD00001	TC_GD000001	그룹코드관리	공통코드그룹	5
GS_SEARCH	TM_GD20602	TM_GD010602	검색엔진	검색엔진	11
IMG_DTL_MNG	TD_GD29002	TD_GD019002	이미지상세관리	이미지상세관리	6
IMG_FILE_MNG	TD_GD29003	TD_GD019003	이미지파일관리	이미지파일관리	6
IMG_MNG	TM_GD29002	TM_GD019002	이미지관리	이미지관리	9
INSERT_BOJO	TT_GD30802	TT_GD110802	보조관측망입력 보조 테이블	보조관측망입력보조테이블	34
INSERT_NATIONAL	TT_GD30801	TT_GD110801	국가관측망입력 보조 테이블	국가관측망입력보조테이블	43
JEJU_BUL	TT_GD46001	TT_GD036001	제주불용공	제주도불용관정	78
MENU_AUTHRT_CD_MNG	TM_GD29028	TM_GD019028	메뉴권한관리	메뉴권한관리	4
MENU_DTL_MNG	TD_GD29004	TD_GD019004	메뉴상세관리	메뉴상세관리	8
MENU_MNG	TM_GD29004	TM_GD019004	메뉴관리	메뉴관리	12
OTSD_API_MNG	TM_GD29024	TM_GD019024	외부API관리	외부AP관리	8
PHWRD_MNG	TM_GD29017	TM_GD019017	금칙어관리	금칙어관리	7
PH_GD10002	PH_GD10002	PH_GD120002	허가신고공 이력테이블	허가신고공이력	8
PH_GD22003	PH_GD22003	PH_GD012003	QR코드아이디	QR코드아이디	3
PM_GD20913	PM_GD20913	PM_GD010913	홈페이지방문	홈페이지방문	9
PM_GD31021	PM_GD31021	PM_GD111021	이용량시간자료	이용량시간자료	4
PM_GD31022	PM_GD31022	PM_GD111022	이용량 일자료	이용량일자료	4
PM_GD60201	PM_GD60201	PM_GD970201	ODM관측자료	ODM관측자료	5
PM_GD60202	PM_GD60202	PM_GD970202	ODM다심도관측자료	ODM다심도관측자료	6
PM_GD60203	PM_GD60203	PM_GD970203	ODM관측자료	ODM관측자료	5
PM_GD60205	PM_GD60205	PM_GD970205	ODM예측자료	ODM예측자료	5
POPUP_MNG	TM_GD29016	TM_GD019016	팝업관리	팝업관리	10
PSWD_CHG_HSTRY_MNG	TM_GD29026	TM_GD019026	패스워드변경이력관리	패스워드변경이력관리	6
RGETSTGMS01_2024YB	TT_GD46000	TT_GD036000	23연보 작업용 이용실태	연보작업용이용실태	90
RGETSTGMS01_REALXY	TH_GD45000	TH_GD035000	관정생성로그	관정생성로그	27
RGET_JEJU21	TT_GD46002	TT_GD036002	허가신고_제주21	제주도허가신고관정	90
STDG_CD_MNG	TC_GD00100	TC_GD000100	공통법정동코드	공통법정동코드	1
TC_GD00001	TC_GD00001	TC_GD000001	공통코드그룹	공통코드그룹	2
TC_GD00002	TC_GD00002	TC_GD000002	공통코드	공통코드	10
TC_GD00003	TC_GD00003	TC_GD000003	관측망대유역	관측망대유역	4
TC_GD00004	TC_GD00004	TC_GD000004	관측망중유역	관측망중유역	8
TC_GD00100	TC_GD00100	TC_GD000100	공통법정동코드	공통법정동코드	13
TC_GD00100_221108	TB_GD00100	TB_GD000100	공통법정동코드_갱신	공통법정동코드_갱신	13
TC_GD00200	TC_GD00200	TC_GD000200	공통자치단체코드	공통자치단체코드	19
TC_GD00210	TC_GD00210	TC_GD000210	공통자치단체코드시통합	공통자치단체코드시통합	7
TC_GD00300	TC_GD00300	TC_GD000300	지적	지적	7
TC_GD20801	TC_GD20801	TC_GD010801	다운로드파일분류코드	다운로드파일분류코드	3
TC_GD60001	TC_GD60001	TC_GD970001	ODM좌표체계	ODM좌표체계	5
TC_GD60101	TC_GD60101	TC_GD970101	ODM단위	ODM단위	4
TC_GD60201	TC_GD60201	TC_GD970201	ODM품질	ODM품질	2
TD_GD00601	TM_GD84002	TM_GD024002	방치공 신고접수	방치공신고접수	34
TD_GD10501	TD_GD10501	TD_GD120501	현장조사수질검사결과	현장조사수질검사결과	3
TD_GD10503	TD_GD10503	TD_GD120503	화학분석결과	화학분석결과	3
TD_GD20301	TD_GD20301	TD_GD010301	설문조사_질문	설문조사질문	8
TD_GD20302	TD_GD20302	TD_GD010302	설문조사_질문_답변항목	설문조사답변항목	3
TD_GD20303	TD_GD20303	TD_GD010303	설문조사_질문_응답	설문조사질문응답	5
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	67
TD_GD20910	TD_GD20910	TD_GD010910	홈페이지로그인	홈페이지로그인	5
TD_GD30201	TD_GD30201	TD_GD110201	관측망인허가문서	관측망인허가문서	13
TD_GD30203	TD_GD30203	TD_GD110203	관측망전기탐사상세	관측망전기탐사상세	8
TD_GD30303	TD_GD30303	TD_GD110303	보조관측망수질검사결과	보조관측망수질검사결과	3
TD_GD80010	TD_GD80010	TD_GD020010	오염유발시설 - 매립시설	오염유발매립시설	11
TD_GD80020	TD_GD80020	TD_GD020020	오염유발시설 - 폐수배출시설	오염유발폐수배출시설	11
TD_GD80030	TD_GD80030	TD_GD020030	오염유발시설 - 특정토양오염관리대상시설	오염유발특정토양오염관리대상시설	5
TD_GD81010	TD_GD81010	TD_GD021010	먹는샘물첨부파일	먹는샘물첨부파일	8
TH_GD00100	TH_GD00100	TH_GD000100	공통법정동코드	공통법정동코드	14
TH_GD00110	TH_GD00110	TH_GD000110	이용실태 연도별 읍면동 정보 테이블	이용실태연도별읍면동정보	5
TH_GD20210	TH_GD20210	TH_GD010210	홈페이지수문지질도보고서다운로드로그	홈페이지수문지질도보고서다운로드로그	9
TH_GD20915	TH_GD20915	TH_GD010915	홈페이지문자인증히스토리	홈페이지문자인증히스토리	6
TH_GD21301	TH_GD21301	TH_GD011301	오픈API키호출로그	오픈API키호출로그	5
TH_GD30109	TH_GD30109	TH_GD110109	관측망장비이력	관측망장비이력	10
TH_GD30501	TH_GD30501	TH_GD110501	관측소제원수정히스토리	관측소제원수정히스토리	10
TH_GD31012	TH_GD31012	TH_GD111012	이용량시설변경이력	이용량시설변경이력	21
TH_GD31030	TH_GD31030	TH_GD111030	이용량장비관리이력	이용량장비관리이력	10
TH_GD60203	TH_GD60203	TH_GD970203	수거데이터변경이력	수거데이터변경이력	11
TMPLAT_MNG	TM_GD29007	TM_GD019007	템플릿관리	템플릿관리	5
TMPLAT_USE_MNG	TM_GD29008	TM_GD019008	템플릿사용관리	템플릿사용관리	3
TM_API_NATNOBSV_LEV	TM_GD33001	TM_GD113001	국가관리측정망 수위현황	국가관리측정망_수위현황	7
TM_API_NATNOBSV_WTR	TM_GD33002	TM_GD113002	국가지하수 관리측정망 수질정보	국가관리측정망_수질정보	23
TM_API_NATNPOLLOBSV_WTR	TM_GD33003	TM_GD113003	국가오염측정망 수질정보	국가오염측정망_수질정보	25
TM_CMWATER01	TM_GD82201	TM_GD022201	영업실적	영업실적	28
TM_CMWATER01_DATA	TD_GD82201	TD_GD022201	영업실적	영업실적	5
TM_CMWATER02	TD_GD82102	TD_GD022102	기술능력 및 기술인력의 교육 이수현황 목록	기술능력_기술인력교육이수현황	23
TM_CMWATER03	TD_GD82101	TD_GD022101	시설 및 보유장비	시설보유장비	20
TM_CMWATER04	TM_GD82100	TM_GD022100	시공업체	영업실적시공업체	34
TM_CMWATER11	TM_GD82202	TM_GD022202	업체위반사항정보	업체위반사항	16
TM_CMWATER12	TM_GD82301	TM_GD022301	업체질문과답변	업체질문과답변	30
TM_CMWATER13	TM_GD82302	TM_GD022302	홈페이지게시판파일	홈페이지게시판파일	7
TM_CMWATER21	TM_GD82401	TM_GD022401	업체정보지자체보고관리	업체지자체보고관리	11
TM_CMWATER22	TD_GD82402	TD_GD022402	업체보고관리	업체보고관리	13
TM_CMWATER23	TD_GD82403	TD_GD022403	(신)위반사항관리테이블	위반사항신규관리	25
TM_CM_RGETNJHMS01	TM_GD82003	TM_GD022003	정화업체관리	정화업체	27
TM_CM_RGETNSIMS01	TM_GD82001	TM_GD022001	시공업체	새올시공업체	27
TM_CM_RGETNYYMS01	TM_GD82002	TM_GD022002	영향조사기관	영향조사기관	26
TM_GD00100	TM_GD00100	TM_GD000100	공통지하수파일분류별경로	공통지하수파일분류별경로	2
TM_GD00101	TM_GD00101	TM_GD000101	공통파일	공통파일	13
TM_GD00201	TM_GD00201	TM_GD000201	공통중유역강수량	공통중유역강수량	8
TM_GD00202	TM_GD00202	TM_GD000202	공통소유역강수량	공통소유역강수량	12
TM_GD00203	TM_GD00203	TM_GD000203	공통가뭄상태	공통가뭄상태	11
TM_GD00301	TM_GD83001	TM_GD023001	미등록지하수시설	미등록지하수시설	30
TM_GD00302	TD_GD83002	TD_GD023002	미등록지하수시설 조사진행	미등록지하수시설_조사진행	57
TM_GD00501_20241021	TM_GD83003	TM_GD023003	미등록지하수시설_신규	신규미등록지하수시설	36
TM_GD00601	TD_GD84001	TD_GD024001	방치공찾기운동	방치공찾기운동	9
TM_GD10001	TM_GD10001	TM_GD120001	관정	관정	33
TM_GD10211	TM_GD10211	TM_GD120211	현장조사수위	현장조사수위	9
TM_GD10220	TM_GD10220	TM_GD120220	현장조사자동수위	현장조사자동수위	24
TM_GD10221	TM_GD10221	TM_GD120221	현장조사자동수위측정	현장조사자동수위측정	5
TM_GD10222	TM_GD10222	TM_GD120222	자동수위관측결과	자동수위관측결과	10
TM_GD10223	TM_GD10223	TM_GD120223	자동관측공순간수위변화시험	자동관측공순간수위변화시험	11
TM_GD10301	TM_GD10301	TM_GD120301	현장조사물리탐사	현장조사물리탐사	18
TM_GD10401	TM_GD10401	TM_GD120401	현장조사수압시험	현장조사수압시험	8
TM_GD10402	TM_GD10402	TM_GD120402	현황조사지표수관측	현황조사지표수관측	13
TM_GD10501	TM_GD10501	TM_GD120501	현장조사수질현황	현장조사수질현황	15
TM_GD10502	TM_GD10502	TM_GD120502	현장조사간이수질검사	현장조사간이수질검사	15
TM_GD10503	TM_GD10503	TM_GD120503	화학분석	화학분석	5
TM_GD10601	TM_GD10601	TM_GD120601	현장조사암상특성	현장조사암상특성	7
TM_GD10701	TM_GD10701	TM_GD120701	현장조사전기비저항탐사	현장조사전기비저항탐사	15
TM_GD10702	TM_GD10702	TM_GD120702	현장조사전기비저항탐사측점	현장조사전기비저항탐사측점	7
TM_GD10703	TM_GD10703	TM_GD120703	현장조사전기비저항탐사상세	현장조사전기비저항탐사상세	10
TM_GD10704	TM_GD10704	TM_GD120704	수위관측결과	수위관측결과	5
TM_GD10801	TM_GD10801	TM_GD120801	착정자료	착정자료	45
TM_GD10901	TM_GD10901	TM_GD120901	시추개요현황	시추개요현황	10
TM_GD10910	TM_GD10910	TM_GD120910	코아정보	코아정보	10
TM_GD11001	TM_GD11001	TM_GD121001	지층별암상특성	지층별암상특성	9
TM_GD11002	TM_GD11002	TM_GD121002	국가관측망지층별암상특성	국가관측망지층별암상특성	7
TM_GD11101	TM_GD11101	TM_GD121101	양수개요현황	양수개요현황	27
TM_GD11102	TM_GD11102	TM_GD121102	양수시험	양수시험	12
TM_GD20001	TM_GD20001	TM_GD010001	홈페이지게시판	홈페이지게시판	24
TM_GD20001_DEV	TB_GD20001	TB_GD010001	홈페이지게시판	홈페이지게시판	24
TM_GD20006	TM_GD20006	TM_GD010006	홈페이지지하수연보	홈페이지지하수연보	6
TM_GD20007	TM_GD20007	TM_GD010007	홈페이지동영상	홈페이지동영상	13
TM_GD20010	TM_GD20010	TM_GD010010	홈페이지검색	홈페이지검색	10
TM_GD20011	TM_GD20011	TM_GD010011	홈페이지온천	홈페이지온천	15
TM_GD20101	TM_GD20101	TM_GD010101	홈페이지마이크로요청	홈페이지마이크로요청	12
TM_GD20102	TM_GD20102	TM_GD010102	홈페이지마이크로요청다운로드	홈페이지마이크로요청다운로드	16
TM_GD20104	TM_GD20104	TM_GD010104	홈페이지마이크로유역법정동	홈페이지마이크로유역법정동	2
TM_GD20200	TM_GD20200	TM_GD010200	홈페이지게시판파일	홈페이지게시판파일	7
TM_GD20201	TM_GD20201	TM_GD010201	홈페이지보고서	홈페이지보고서	11
TM_GD20202	TM_GD20202	TM_GD010202	홈페이지영향조사업로드	홈페이지영향조사업로드	5
TM_GD20210	TM_GD20210	TM_GD010210	홈페이지수문지질도보고서	홈페이지수문지질도보고서	10
TM_GD20300	TM_GD20300	TM_GD010300	유튜브영상	유튜브영상	13
TM_GD20301	TM_GD20301	TM_GD010301	설문조사	설문조사	19
TM_GD20303	TM_GD20303	TM_GD010303	설문조사_응답자	설문조사_응답자	7
TM_GD20310	TM_GD20310	TM_GD010310	토양지하수(약수터) 제원정보	약수터제원정보	24
TM_GD20501	TM_GD20501	TM_GD010501	홈페이지메인화면이미지	홈페이지메인화면이미지	9
TM_GD20502	TM_GD20502	TM_GD010502	홈페이지관리자팝업	홈페이지관리자팝업	13
TM_GD20503	TM_GD20503	TM_GD010503	홈페이지관리자허가아이피	홈페이지관리자허가아이피	9
TM_GD20504	TM_GD20504	TM_GD010504	홈페이지검색키워드	홈페이지검색키워드	5
TM_GD20505	TM_GD20505	TM_GD010505	홈페이지검색로봇	홈페이지검색로봇	3
TM_GD20510	TM_GD20510	TM_GD010510	홈페이지메뉴	홈페이지메뉴	8
TM_GD20512	TM_GD20512	TM_GD010512	홈페이지페이지만족도	홈페이지페이지만족도	5
TM_GD20514	TM_GD20514	TM_GD010514	홈페이지관측망메뉴권한	홈페이지관측망메뉴권한	2
TM_GD20601	TM_GD20601	TM_GD010601	홈페이지지하수정보신청	홈페이지지하수정보신청	6
