이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전Comment	NEW_Comment	컬럼수
TM_GD20802	TM_GD20802	TM_GD010802	다운로드파일로그	다운로드파일로그	5
TM_GD20803	TM_GD20803	TM_GD010803	게시판별다운로드매칭	게시판별다운로드매칭	2
TM_GD20910	TM_GD20910	TM_GD010910	홈페이지사용자	사용자정보	13
TM_GD20911	TM_GD20911	TM_GD010911	GPKI 인증서등록	GPKI 인증서 정보	10
TM_GD20914	TM_GD20914	TM_GD010914	홈페이지방문로그	홈페이지방문로그	6
TM_GD20915	TM_GD20915	TM_GD010915	사용자토큰	사용자토큰	7
TM_GD20920	TM_GD20920	TM_GD010920	홈페이지관측망사용자	홈페이지관측망사용자	10
TM_GD20921	TM_GD20921	TM_GD010921	관측망점검원근무이력	관측망점검원근무이력	5
TM_GD20930	TM_GD20930	TM_GD010930	홈페이지이용실태담당지자체	홈페이지이용실태담당지자체	3
TM_GD21201	TM_GD21201	TM_GD011201	홈페이지지자체담당부서	홈페이지지자체담당부서	3
TM_GD21301	TM_GD21301	TM_GD011301	오픈API키	오픈API키	15
TM_GD21501	TM_GD40203	TM_GD030203	지하수함양개발가능량	지하수개발가능량	6
TM_GD21502	TM_GD40204	TM_GD030204	지하수함양개발가능량유역별	지하수개발가능량_유역별	7
TM_GD22001	TM_GD22001	TM_GD012001	QR코드매핑	QR코드매핑	7
TM_GD22002	TM_GD22002	TM_GD012002	QR코드변경정보	QR코드변경정보	16
TM_GD23001	TM_GD23001	TM_GD013001	빅데이터권한	빅데이터권한	2
TM_GD23002	TM_GD23002	TM_GD013002	이용량메뉴	이용량메뉴	8
TM_GD23003	TM_GD23003	TM_GD013003	빅데이터권한-메뉴 연결	빅데이터권한-메뉴연결	2
TM_GD23004	TM_GD23004	TM_GD013004	빅데이터시스템	빅데이터시스템	5
TM_GD23005	TM_GD23005	TM_GD013005	빅데이터시스템코드	빅데이터시스템코드	5
TM_GD23006	TM_GD23006	TM_GD013006	빅데이터접속로그	빅데이터접속로그	7
TM_GD23007	TM_GD23007	TM_GD013007	빅데이터시스템로그	빅데이터시스템로그	10
TM_GD23008	TM_GD23008	TM_GD013008	빅데이터게시판	빅데이터게시판	14
TM_GD23009	TM_GD23009	TM_GD013009	빅데이터게시판-게시글	빅데이터게시판_게시글	21
TM_GD23010	TM_GD23010	TM_GD013010	빅데이터게시글-첨부파일	빅데이터게시글_첨부파일	7
TM_GD23011	TM_GD23011	TM_GD013011	빅데이터게시글-댓글	빅데이터게시글_댓글	7
TM_GD23012	TM_GD23012	TM_GD013012	데이터검색	데이터검색	10
TM_GD23013	TM_GD23013	TM_GD013013	데이터검색 조회 로그	데이터검색_조회이력	5
TM_GD23014	TM_GD23014	TM_GD013014	데이터검색 다운로드 로그	데이터검색_다운로드이력	5
TM_GD23015	TM_GD23015	TM_GD013015	빅데이터오픈API	빅데이터오픈API	7
TM_GD23016	TM_GD23016	TM_GD013016	빅데이터공모전-첨부파일	빅데이터공모전_첨부파일	7
TM_GD23018	TM_GD23018	TM_GD013018	빅데이터뉴스분석	빅데이터뉴스분석	9
TM_GD23019	TM_GD23019	TM_GD013019	빅데이터뉴스분석정보	빅데이터뉴스분석정보	13
TM_GD23020	TM_GD23020	TM_GD013020	빅데이터뉴스스크랩	빅데이터뉴스스크랩	14
TM_GD23021	TM_GD23021	TM_GD013021	빅데이터뉴스정보연관키워드	빅데이터뉴스정보연관키워드	9
TM_GD23022	TM_GD23022	TM_GD013022	빅데이터뉴스허용어불용어	빅데이터뉴스허용어불용어	8
TM_GD30001	TM_GD30001	TM_GD110001	관측망현장점검계획	관측망현장점검계획	5
TM_GD30101	TM_GD30101	TM_GD110101	관측망현장점검결과	관측망현장점검결과	18
TM_GD30102	TM_GD30102	TM_GD110102	관측망현장점검결과관정정보	관측망현장점검결과관정정보	8
TM_GD30103	TM_GD30103	TM_GD110103	관측망현장점검결과센서	관측망현장점검결과센서	36
TM_GD30104	TM_GD30104	TM_GD110104	관측망현장점검결과텔리메타링	관측망현장점검결과텔리메타링	10
TM_GD30105	TM_GD30105	TM_GD110105	관측망현장점검결과전원상용전원	관측망현장점검결과전원상용전원	14
TM_GD30106	TM_GD30106	TM_GD110106	관측망현장점검결과전원태양전지	관측망현장점검결과전원태양전지	15
TM_GD30107	TM_GD30107	TM_GD110107	관측망현장점검결과로거	관측망현장점검결과로거	13
TM_GD30108	TM_GD30108	TM_GD110108	관측망현장점검결과결측사유	관측망현장점검결과결측사유	10
TM_GD30109	TM_GD30109	TM_GD110109	관측망현장점검결과장비이력	관측망현장점검결과장비이력	4
TM_GD30110	TM_GD30110	TM_GD110110	관측망장비	관측망장비	19
TM_GD30111	TM_GD30111	TM_GD110111	관측망현장점검결과수시료채취	관측망현장점검결과수시료채취	8
TM_GD30112	TM_GD30112	TM_GD110112	수질측정망검사결과확정	수질측정망검사결과확정	4
TM_GD30201	TM_GD30201	TM_GD110201	관측망관측소설치인허가현황	관측망관측소설치인허가현황	38
TM_GD30202	TM_GD30202	TM_GD110202	관측망토지사용이력	관측망토지사용이력	6
TM_GD30203	TM_GD30203	TM_GD110203	관측망전기탐사측점	관측망전기탐사측점	6
TM_GD30204	TM_GD30204	TM_GD110204	관측망전기탐사	관측망전기탐사	15
TM_GD30210	TM_GD30210	TM_GD110210	관측망재수신이벤트	관측망재수신이벤트	3
TM_GD30213	TM_GD30213	TM_GD110213	관측망간이수질검사결과	관측망간이수질검사결과	12
TM_GD30214	TM_GD30214	TM_GD110214	관측망방문자기록	관측망방문자기록	5
TM_GD30301	TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	22
TM_GD30302	TM_GD30302	TM_GD110302	수질측정망검사결과	수질측정망검사결과	3
TM_GD30303	TM_GD30303	TM_GD110303	보조관측망수질검사개요	보조관측망수질검사개요	6
TM_GD30310	TM_GD30310	TM_GD110310	수질검사항목별기준	수질검사항목별기준	15
TM_GD30311	TM_GD30311	TM_GD110311	수질검사초과지점	수질검사초과지점	6
TM_GD30320	TM_GD30320	TM_GD110320	수질입력시스템권한	수질입력시스템권한	2
TM_GD30330	TM_GD30330	TM_GD110330	수질시스템IP권한	수질시스템IP권한	4
TM_GD30330_BU	TB_GD30330	TB_GD110330	수질시스템IP권한 백업테이블	수질시스템IP권한 백업테이블	4
TM_GD30340	TM_GD30340	TM_GD110340	국가관측망수질검사항목별기준	국가관측망수질검사항목별기준	9
TM_GD30401	TM_GD30401	TM_GD110401	수거데이터관리	수거데이터관리	9
TM_GD30701	TM_GD30701	TM_GD110701	기상관측소정보	기상관측소정보	3
TM_GD30702	TM_GD30702	TM_GD110702	기상관측소매핑정보	기상관측소매핑정보	2
TM_GD30703	TM_GD30703	TM_GD110703	기상관측소프로모드	기상관측소프로모드	3
TM_GD30704	TM_GD30704	TM_GD110704	빅데이터기상정보	빅데이터기상정보	8
TM_GD30706	TM_GD30706	TM_GD110706	빅데이터기상일자정보	빅데이터기상일자정보	3
TM_GD30707	TM_GD30707	TM_GD110707	빅데이터시리얼	빅데이터시리얼	7
TM_GD31010	TM_GD31010	TM_GD111010	이용량시설	이용량시설	69
TM_GD31011	TM_GD31011	TM_GD111011	이용이용량시설첨부파일	이용이용량시설첨부파일	6
TM_GD31012	TM_GD31012	TM_GD111012	이용량이용부담금부과시설	이용량이용부담금부과시설	18
TM_GD31013	TM_GD31013	TM_GD111013	이용량이용부담금부과시설사용량	이용량이용부담금부과시설사용량	5
TM_GD31024	TM_GD31024	TM_GD111024	이용량최근수신현황	이용량최근수신현황	2
TM_GD31025	TM_GD31025	TM_GD111025	이용량관측데이터	이용량관측데이터	4
TM_GD31030	TM_GD31030	TM_GD111030	이용량장비관리	이용량장비관리	10
TM_GD31032	TM_GD31032	TM_GD111032	이용량시설장비등록	이용량시설장비등록	7
TM_GD31040	TM_GD31040	TM_GD111040	이용량지역산정표	이용량지역산정표	3
TM_GD31041	TM_GD31041	TM_GD111041	이용량산정식	이용량산정식	7
TM_GD31042	TM_GD31042	TM_GD111042	이용량지역구분표	이용량지역구분표	3
TM_GD31101	TM_GD31101	TM_GD111101	이용량QR코드	이용량QR코드	3
TM_GD31102	TM_GD31102	TM_GD111102	이용량QR접속이력	이용량QR접속이력	3
TM_GD31901	TM_GD31901	TM_GD111901	이용량권한	이용량권한	2
TM_GD31902	TM_GD31902	TM_GD111902	이용량메뉴	이용량메뉴	8
TM_GD31903	TM_GD31903	TM_GD111903	이용량권한-메뉴 연결	이용량권한_메뉴연결	2
TM_GD31905	TM_GD31905	TM_GD111905	이용량메뉴접속로그	이용량메뉴접속로그	4
TM_GD31906	TM_GD31906	TM_GD111906	이용량접속로그	이용량접속로그	8
TM_GD31908	TM_GD31908	TM_GD111908	이용량게시판	이용량게시판	14
TM_GD31909	TM_GD31909	TM_GD111909	이용량게시판-게시글	이용량게시판-게시글	19
TM_GD31910	TM_GD31910	TM_GD111910	이용량게시글-첨부파일	이용량게시글-첨부파일	6
TM_GD31912	TM_GD31912	TM_GD111912	이용량조사표	이용량조사표	40
TM_GD31913	TM_GD31913	TM_GD111913	이용량생활용조사표	이용량생활용조사표	6
TM_GD31914	TM_GD31914	TM_GD111914	이용량공업용조사표	이용량공업용조사표	4
TM_GD31915	TM_GD31915	TM_GD111915	이용량농업용조사표	이용량농업용조사표	12
TM_GD31917	TM_GD31917	TM_GD111917	이용량게시글-임시첨부파일	이용량게시글_임시첨부파일	6
TM_GD40002	TM_GD40002	TM_GD030002	정호형태별이용현황	정호형태별이용현황	6
TM_GD40003	TM_GD40003	TM_GD030003	공당지하수이용현황	공당지하수이용현황	6
TM_GD40004	TM_GD40004	TM_GD030004	지하수불용공현황_허가_신고_기타	지하수불용공현황	6
TM_GD40005	TM_GD40005	TM_GD030005	정기수질검사결과현황	정기수질검사결과현황	6
TM_GD40006	TM_GD40006	TM_GD030006	양수능력별이용현황	양수능력별이용현황	6
TM_GD40007	TM_GD40007	TM_GD030007	지하수 개발가능량 대비 이용량	지하수개발가능량대비이용량	5
TM_GD40008	TM_GD40008	TM_GD030008	관정심도별이용현황	관정심도별이용현황	6
TM_GD40009	TM_GD40009	TM_GD030009	지하수불용공현황_미처리_처리건수	지하수불용공현황_미처리처리건수	5
TM_GD40010	TM_GD40010	TM_GD030010	세부용도별 이용현황	세부용도별이용현황	7
TM_GD40011	TM_GD40011	TM_GD030011	토출관직경별이용현황	토출관직경별이용현황	6
TM_GD40012	TM_GD40012	TM_GD030012	지역별이용현황	지역별이용현황	6
TM_GD40013	TM_GD40013	TM_GD030013	신규개발이용현황	신규개발이용현황	6
TM_GD40014	TM_GD40014	TM_GD030014	허가신고현황	허가신고현황	6
TM_GD40015	TM_GD40015	TM_GD030015	관정구경별이용현황	관정구경별이용현황	6
TM_GD40016	TM_GD40016	TM_GD030016	년도별대유역현황	년도별대유역현황	3
TM_GD40017	TM_GD40017	TM_GD030017	단위면적현황	단위면적현황	3
TM_GD40018	TM_GD40018	TM_GD030018	신규허가신고현황	신규허가신고현황	6
TM_GD40019	TM_GD40019	TM_GD030019	폐공처리방법별현황	폐공처리방법별현황	8
TM_GD40020	TM_GD40020	TM_GD030020	폐공발생원인별현황	폐공발생원인별현황	12
TM_GD40021	TM_GD40021	TM_GD030021	개발밀도이용현황	개발밀도이용현황	4
TM_GD50001	TM_GD50001	TM_GD130001	영향조사보고서	영향조사보고서	13
TM_GD50002	TM_GD50002	TM_GD130002	영향조사착정현황	영향조사착정현황	26
TM_GD50003	TM_GD50003	TM_GD130003	영향조사양수시험결과	영향조사양수시험결과	30
TM_GD50004	TM_GD50004	TM_GD130004	영향조사수질현황	영향조사수질현황	8
TM_GD50005	TM_GD50005	TM_GD130005	영향조사수질검사결과	영향조사수질검사결과	9
TM_GD50006	TM_GD50006	TM_GD130006	영향조사암상특성	영향조사암상특성	9
TM_GD50007	TM_GD50007	TM_GD130007	영향조사WHPA분석	영향조사WHPA분석	22
TM_GD50008	TM_GD50008	TM_GD130008	영향조사파일	영향조사파일	4
TM_GD50100	TM_GD50100	TM_GD130100	영향조사수질기준	영향조사수질기준	5
TM_GD60001	TM_GD60001	TM_GD970001	ODM관측소	ODM관측소	16
TM_GD60002	TM_GD60002	TM_GD970002	ODM관측소사양	ODM관측소사양	20
TM_GD60003	TM_GD60003	TM_GD970003	ODM관측소오염원	ODM관측소오염원	8
TM_GD60004	TM_GD60004	TM_GD970004	폐쇄 측정망	폐쇄측정망	6
TM_GD60101	TM_GD60101	TM_GD970101	ODM결과	ODM결과	18
TM_GD60105	TM_GD60105	TM_GD970105	ODM관측항목	ODM관측항목	3
TM_GD60110	TM_GD60110	TM_GD970110	ODM지점유형관리용어	ODM지점유형관리용어	4
TM_GD60111	TM_GD60111	TM_GD970111	ODM일반카테고리관리용어명	ODM일반카테고리관리용어명	4
TM_GD60120	TM_GD60120	TM_GD970120	ODM자료유형관리용어	ODM자료유형관리용어	4
TM_GD60121	TM_GD60121	TM_GD970121	ODM값유형관리용어명	ODM값유형관리용어명	4
TM_GD60122	TM_GD60122	TM_GD970122	ODM공간데이터유형관리용어	ODM공간데이터유형관리용어	4
TM_GD60130	TM_GD60130	TM_GD970130	ODM관정사양	ODM관정사양	56
TM_GD60204	TM_GD60204	TM_GD970204	관측데이터검증결과	관측데이터검증결과	7
TM_GD70001	TM_GD70001	TM_GD980001	연계행정	연계행정	3
TM_GD70001_ERR	TD_GD70001	TD_GD980001	연계행정	연계행정	2
TM_GD70002	TM_GD70002	TM_GD980002	보조수위측정망 최초,최종 연계기록	보조수위측정망_연계현황	9
TM_GD70003	TM_GD70003	TM_GD980003	연계행정테이블	연계행정테이블	2
TM_GD70004	TM_GD70004	TM_GD980004	지하수연계항목코드	지하수연계항목코드	3
TM_GD70101	TM_GD70101	TM_GD980101	시군구이용부담금세입	시군구이용부담금세입	19
TM_GD70102	TM_GD70102	TM_GD980102	시군구이용부담금세출	시군구이용부담금세출	4
TM_GD70201	TM_GD30350	TM_GD110350	정기수질검사개요	정기수질검사개요	24
TM_GD70202	TM_GD30351	TM_GD110351	정기수질검사결과	정기수질검사결과	4
TM_GD70203	TM_GD30352	TM_GD110352	정기수질사용자매핑	정기수질사용자매핑	3
TM_GD70401	TM_GD40100	TM_GD030100	인구및행정구역현황	인구및행정구역현황	9
TM_GD80000	TM_GD80000	TM_GD020000	오염유발시설 총괄DB	오염유발시설 총괄DB	7
TM_GD81000	TM_GD81000	TM_GD021000	먹는샘물관리	먹는샘물관리	8
TM_GD90103	TM_GD82400	TM_GD022400	사용자정보	사용자정보	5
TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	9
TM_NEWS_API	TM_GD24001	TM_GD014001	네이버 뉴스 수집 API 연계	네이버뉴스수집API	10
TM_NEWS_TEST	TM_GD24002	TM_GD014002	네이버 뉴스 수집 API 연계	네이버뉴스수집API	8
TM_PRVPOLICY_HIST	TM_GD25001	TM_GD015001	개인정보열람기록	개인정보열람기록	8
TM_PRVPOLICY_USR	TM_GD25010	TM_GD015010	개인정보열람권한사용자	개인정보열람권한사용자	11
TM_PRVPOLICY_USR_LOG	TH_GD25010	TH_GD015010	개인정보열람권한사용자변경이력	개인정보열람권한사용자변경이력	13
TM_PWATER01	TM_GD30215	TM_GD110215	QR현장점검 사진정보	QR현장점검_사진정보	6
TM_PWATER02	TM_GD30216	TM_GD110216	QR현장점검 표정보	QR현장점검_표정보	10
TM_PWATER03	TM_GD30217	TM_GD110217	QR현장점검 사용자정보	QR현장점검_사용자정보	8
TM_REPORTDATA	TM_GD20701	TM_GD010701	보고서데이터	보고서데이터	18
TM_REPORTDATASTORE	TM_GD20702	TM_GD010702	보고서파일데이터	보고서파일데이터	10
TS_GD20913	TS_GD20913	TS_GD010913	홈페이지방문통계	홈페이지방문통계	2
USER_ACTV_LOG_MNG	TM_GD29022	TM_GD019022	사용자활동로그관리	사용자활동로그관리	8
USER_LOGIN_LOG_MNG	TM_GD29023	TM_GD019023	사용자로그인로그관리	사용자로그인로그관리	9
WT_DREAM_NATIONAL	TM_GD32001	TM_GD112001	드림서비스 국가관측망 정보	드림서비스_국가관측망	15
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	34
WT_DREAM_SEC	TM_GD32003	TM_GD112003	드림서비스 보조관측망 정보	드림서비스_보조관측망	13
WT_PERMWELL_MIN	TM_GD32004	TM_GD112004	드림서비스 민방위 시설정보	드림서비스_민방위시설	35
WT_USE_NEW_WELL_POINT	TM_GD32005	TM_GD112005	허가신고공 정보	허가신고관정	27
WT_WRCCT_WGS	TM_GD32006	TM_GD112006	드림서비스 약수터 시설정보	드림서비스_약수터	16
Z_DWTWTOBSIF_DIST	TM_GD90201	TM_GD990201	기상관련임시테이블	기상관련임시테이블	17
Z_OB_OBSVRDATA_TB	TD_GD90100	TD_GD990100	국가지하수 관측자료(시간)	국가지하수_시관측자료	15
Z_RAINFALL_DIS_PROMOD	TM_GD90301	TM_GD990301	프로모드강수량관측소테이블	프로모드강수량관측소	4
Z_RAINFALL_PROMOD	TM_GD90302	TM_GD990302	프로모드강수량관측테이블	프로모드강수량관측소	4
Z_SEC_JEWON	TM_GD90401	TM_GD990401	보조관측망 제원테이블	보조관측망제원	29
Z_SEC_OBSVDATA	TM_GD90402	TM_GD990402	보조관측망BACH_RESULT	보조관측망연계결과	9
Z_SEC_OBSVDATA_REAL	TD_GD90401	TD_GD990401	자동_보조지하수관측자료_new	자동_보조지하수관측자료신규	11
Z_USE_OBSVR_JEWON	TM_GD90100	TM_GD990100	관측정 시설제원	관측정 시설제원	53
